titulo,tipo_pi,centro/unidade,grande_area_conhecimento,area_conhecimento
"PROCESSO DE OBTENÇÃO DE UM CORANTE AZUL NATURAL DE FLORES DE CLITÓRIA TERNÁTEA L. AZUL","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Agrárias","Tecnologia de Produtos de Origem Vegetal"
"USO DE RESÍDUO DE ABACAXI COMO FONTE ALTERNATIVA DE POTÁSSIO EM PROCESSO DE OBTENÇÃO DE BIOSSURFACTANTES","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Engenharias","Engenharia Química"
"PRÉ-TRATAMENTO DE BIOMASSAS PELO MÉTODO ORGANOSOLV COM GLICEROL E FeCl3 PARA OBTENÇÃO DE AÇÚCARES REDUTORES E LIGNINA","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Análise de Traços e Química Ambiental"
"BYS - By Your Side","Marca","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Engenharias","Engenharia de Produção"
"Pasta de coco enriquecida com farinha de chia","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Agrárias","Tecnologia de Produtos de Origem Vegetal"
"Açúcar de resíduo de pólen apícola e processo de obtenção","Patente","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências Biológicas","Genética Vegetal"
"MEMBRANA DE VIDRO BIOATIVO / PVA PARA REPARO TECIDUAL","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Engenharias","Cerâmicos"
"Fórceps calibrado para algometria de pressão","Modelo de Utilidade","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Engenharias","Engenharia Elétrica"
"Madeiras comerciais do Brasil: Guia para identificação por caracteres gerais e macroscópicos","Registro de Software","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências Biológicas","Botânica"
"PROCESSO DE PRODUÇÃO DE ÂNODOS DE ÓXIDOS METÁLICOS SINTETIZADOS UTILIZANDO AQUECIMENTO A LASER","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Física da Matéria Condensada"
"SIUR","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências da Saúde","Fisioterapia e Terapia Ocupacional"
"JudApp","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Ciência da Computação"
"Descovid-SE","Registro de Software","CENTRO DE EDUCAÇÃO E CIÊNCIAS HUMANAS","Lingüística, Letras e Artes","Lingüística Aplicada"
"Compósitos de subprodutos da agroindústria com aglutinantes naturais","Patente","CENTRO DE CIÊNCIAS AGRÁRIAS APLICADAS","Ciências Agrárias","Microbiologia Agrícola"
"SEpatent","Marca","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Engenharias","Desenvolvimento de Produto"
"EXTRATOS ENRIQUECIDOS DE COMPOSTOS FENÓLICOS TOTAIS E FLAVONOIDES OBTIDOS A PARTIR DA CASCA E MISTURA DE CASCA E SEMENTES DE NONI (Morinda citrifolia L.) SUBMETIDAS À PROCESSO FERMENTATIVO","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Agrárias","Aproveitamento de Subprodutos"
"COMPLEXO DE INCLUSÃO CONTENDO MONOTERPENO E HIDROXIPROPIL-&#946;-CICLODEXTRINA, MÉTODO DE OBTENÇÃO E ATIVIDADE CARDIOVASCULAR","Patente","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências Biológicas","Farmacologia Geral"
"POTENCIAL BIOATIVO DE EXTRATOS DA CASCA DO FRUTO DO MANDACARU (Cereus jamacaru D.C)","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Agrárias","Ciência de Alimentos"
"HU Kids","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Teleinformática"
"MATERIAL GRANULAR CIMENTADO COM ADIÇÃO DE FIBRAS, NATURAIS OU SINTÉTICAS, PARA USO NA PAVIMENTAÇÃO","Modelo de Utilidade","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Engenharias","Pavimentos"
"Risco de dor lombar","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Engenharias","Ergonomia"
