titulo,tipo_pi,centro/unidade,grande_area_conhecimento,area_conhecimento
"SISGIP  SISTEMA DE GESTÃO INTEGRADA DE PROJETOS - ENGENHARIA DE REQUISITOS","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Software Básico"
"SISGIP  SISTEMA DE GESTÃO INTEGRADA DE PROJETOS","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Software Básico"
"OnColo - Saúde da Mulher, Inteligente e Humanizada","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Software Básico"
"Gradway Alumni - Portal Institucional de Egressos","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Software Básico"
"Sistema para Medição Desagregada, Não-invasiva e em Tempo Real de Cargas Elétricas","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Arquitetura de Sistemas de Computação"
"BEBIDA ISOTÔNICA SABOR TUTTI-FRUTTI COLORIDA COM CORANTE AZUL DE JENIPAPO","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Agrárias","Tecnologia das Bebidas"
"A Ponte das Emoções","Marca","CENTRO DE EDUCAÇÃO E CIÊNCIAS HUMANAS","Ciências Sociais Aplicadas","Programação Visual"
"Formulação de batom utilizando resíduo de manteiga clarificada com beterraba","Patente","CENTRO DE CIÊNCIAS AGRÁRIAS APLICADAS","Ciências Agrárias","Ciência de Alimentos"
"Kheiron: Uma aplicação web para acompanhamento pedagógico focado em treinamentos de programação competitiva","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Sistemas de Informação"
"CONFIGURAÇÃO APLICADA A CLASSIFICADOR MANUAL DE SEMENTES E GRÃOS","Desenho Industrial","CENTRO DE CIÊNCIAS AGRÁRIAS APLICADAS","Ciências Agrárias","Armazenamento de Produtos Agrícolas"
"PROCESSO DE OBTENÇÃO DE FORMULAÇÃO FARMACÊUTICA COM ATIVIDADE CICATRIZANTE","Patente","CAMPUS DE LAGARTO","Ciências da Saúde","Anatomia Patológica e Patologia Clínica"
"APARELHO MICROENCAPSULADOR PRESSURIZADO PARA GELIFICAÇÃO IÔNICA","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Agrárias","Tecnologia de Produtos de Origem Vegetal"
"SECTA","Registro de Software","CENTRO DE CIÊNCIAS AGRÁRIAS APLICADAS","Ciências Agrárias","Engenharia de Construções Rurais"
"Batom com resíduo de manteiga clarificada e corante natural concentrado de açafrão","Patente","CENTRO DE CIÊNCIAS AGRÁRIAS APLICADAS","Ciências Agrárias","Aproveitamento de Subprodutos"
"Corante natural alimentício azul microencapsulado proviniente de Clitoria ternatea L.","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Agrárias","Química, Física, Fisico-Química e Bioquímica dos Alim. e das Mat-Primas Alimentares"
"AdminDEP  Módulo de Reserva de Salas","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Software Básico"
"Unidade de Difusão de Tecnologia e Inovação em Conservação do Solo e da Água - UDTI Conservação","Marca","CENTRO DE CIÊNCIAS AGRÁRIAS APLICADAS","Ciências Agrárias","Manejo e Conservação do Solo"
"json2data v1.0.0","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Sistemas de Informação"
"data2report v1.0.0","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Metodologia e Técnicas da Computação"
"Ortese Aberta para Lesões e Disfunção da perna e pé com ação vibratória e auxílio a imobilização","Patente","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências da Saúde","Fisioterapia e Terapia Ocupacional"
"Jogo Didático para uso de Boas Práticas no processo construtivo paredes de concreto moldadas in loco","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Engenharias","Processos Construtivos"
"PERMEÂMETRO DE CARGA CONSTANTE E DECRESCENTE PARA DETERMINAÇÃO DE CONDUTIVIDADE HIDRÁULICA EM SOLOS PARA MÚLTIPLAS AMOSTRAS","Patente","CENTRO DE CIÊNCIAS AGRÁRIAS APLICADAS","Ciências Agrárias","Física do Solo"
"FORMULAÇÃO DE MANTEIGA COM PEDAÇOS DE DAMASCO E UVAS PASSAS SECOS","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Agrárias","Ciência e Tecnologia de Alimentos"
"GEOTEXTIL TECIDO TIPO GEOGRID CONFECCIONADO COM FIBRAS DE Typha domingensis COM ALTA RESISTÊNCIA À TRAÇÃO PARA CONTROLE DE EROSÃO","Patente","CENTRO DE CIÊNCIAS AGRÁRIAS APLICADAS","Ciências Agrárias","Manejo e Conservação do Solo"
"COMPLEXO DE INCLUSÃO CONTENDO NARINGINA E &#946;-CICLODEXTRINA NA PREVENÇÃO E TRATAMENTO DA LESÃO MÚSCULOESQUELÉTICA","Patente","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências da Saúde","Fisioterapia e Terapia Ocupacional"
"COMPOSIÇÃO COSMÉTICA OZONIZADA PARA GERENCIAMENTO DE HIPERCROMIAS NA PELE","Patente","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências da Saúde","Farmacotecnia"
